,Date,Date_x,Demand,Price,Time,Hour,Minute,Month,Quarter,Day,Location,Date_y,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),9am wind speed (km/h) - 2
19,2022-11-20,2023-02-05 19:30:00,4847.67,130.07,2023-02-05 19:30:00,19,30,2,1,5,"Melbourne (Olympic Park), Victoria",2022-11-20,11.8,20.6,16.0,NNW,50.0,15:42,14.3,63,NW,15,998.2,19.4,36.0,WNW,15.0,997.1,15.0
20,2022-11-21,2022-11-21 19:30:00,5914.29,119.5,2022-11-21 19:30:00,19,30,11,4,21,"Melbourne (Olympic Park), Victoria",2022-11-21,9.4,13.8,1.2,W,57.0,11:27,11.2,51,NW,24,1001.8,11.8,64.0,SW,17.0,1005.1,24.0
21,2022-11-22,2022-11-22 07:00:00,5695.31,0.0,2022-11-22 07:00:00,7,0,11,4,22,"Melbourne (Olympic Park), Victoria",2022-11-22,8.7,18.2,2.0,WNW,37.0,16:58,12.7,68,WNW,13,1012.9,18.0,58.0,WSW,9.0,1012.3,13.0
22,2022-11-23,2022-11-23 20:00:00,5515.67,221.55,2022-11-23 20:00:00,20,0,11,4,23,"Melbourne (Olympic Park), Victoria",2022-11-23,11.6,17.7,0.6,SSW,30.0,13:18,14.7,65,W,11,1015.6,16.1,77.0,SW,6.0,1016.9,11.0
23,2022-11-24,2022-11-24 20:00:00,5259.33,250.11,2022-11-24 20:00:00,20,0,11,4,24,"Melbourne (Olympic Park), Victoria",2022-11-24,12.4,19.2,2.8,SSE,22.0,20:13,14.3,73,W,7,1021.0,17.0,63.0,SE,7.0,1020.4,7.0
24,2022-11-25,2022-11-25 06:30:00,5187.15,121.56,2022-11-25 06:30:00,6,30,11,4,25,"Melbourne (Olympic Park), Victoria",2022-11-25,11.6,20.6,0.0,S,22.0,11:42,14.3,75,SW,9,1021.7,19.2,51.0,SE,6.0,1020.0,9.0
25,2022-11-26,2022-11-26 17:00:00,4597.02,9.2,2022-11-26 17:00:00,17,0,11,4,26,"Melbourne (Olympic Park), Victoria",2022-11-26,10.9,27.3,0.0,N,54.0,13:12,16.8,66,NE,11,1011.9,27.0,33.0,N,20.0,1004.6,11.0
26,2022-11-27,2022-11-27 19:30:00,4787.93,163.12,2022-11-27 19:30:00,19,30,11,4,27,"Melbourne (Olympic Park), Victoria",2022-11-27,14.7,20.5,0.2,SSW,37.0,16:10,16.0,71,SW,9,1004.5,19.5,51.0,S,9.0,1003.7,9.0
27,2022-11-28,2022-11-28 18:00:00,5137.53,157.0,2022-11-28 18:00:00,18,0,11,4,28,"Melbourne (Olympic Park), Victoria",2022-11-28,9.7,18.8,0.2,NW,31.0,19:49,14.0,61,NW,11,1009.1,18.1,46.0,WSW,7.0,1008.0,11.0
28,2022-11-29,2022-11-29 20:00:00,5148.92,170.5,2022-11-29 20:00:00,20,0,11,4,29,"Melbourne (Olympic Park), Victoria",2022-11-29,12.2,18.4,0.4,S,33.0,9:26,15.5,65,WSW,11,1015.6,17.7,52.0,SSW,13.0,1016.9,11.0
29,2022-11-30,2022-11-30 19:30:00,5159.0,149.5,2022-11-30 19:30:00,19,30,11,4,30,"Melbourne (Olympic Park), Victoria",2022-11-30,11.6,18.4,0.0,SSW,31.0,16:47,16.0,58,SSE,9,1019.8,17.9,52.0,SSW,9.0,1017.7,9.0
30,2022-12-01,2022-12-01 20:00:00,5199.78,119.5,2022-12-01 20:00:00,20,0,12,4,1,"Melbourne (Olympic Park), Victoria",2022-12-01,12.1,18.8,0.0,S,35.0,15:17,17.0,73,ESE,11,1018.8,18.1,63.0,S,17.0,1017.7,11.0
31,2022-12-02,2022-12-02 19:00:00,5312.13,243.17,2022-12-02 19:00:00,19,0,12,4,2,"Melbourne (Olympic Park), Victoria",2022-12-02,9.4,21.4,0.0,SSW,26.0,15:00,15.0,74,N,6,1018.3,20.4,62.0,SSW,13.0,1015.4,6.0
32,2022-12-03,2022-12-03 18:30:00,5847.74,258.06,2022-12-03 18:30:00,18,30,12,4,3,"Melbourne (Olympic Park), Victoria",2022-12-03,13.6,31.0,0.0,NNW,31.0,8:54,21.3,68,NE,7,1015.7,28.8,42.0,SSW,13.0,1013.0,7.0
33,2022-12-04,2022-12-04 17:30:00,6847.78,203.93,2022-12-04 17:30:00,17,30,12,4,4,"Melbourne (Olympic Park), Victoria",2022-12-04,17.3,34.5,0.0,NW,44.0,13:22,27.2,43,NNE,9,1011.7,32.5,28.0,NNW,19.0,1007.8,9.0
34,2022-12-05,2022-12-05 19:30:00,5216.04,170.5,2022-12-05 19:30:00,19,30,12,4,5,"Melbourne (Olympic Park), Victoria",2022-12-05,16.2,18.1,0.0,SSW,52.0,15:08,16.6,77,SSW,13,1009.6,16.3,70.0,SSW,17.0,1011.7,13.0
35,2022-12-06,2022-12-06 19:00:00,5307.49,202.48,2022-12-06 19:00:00,19,0,12,4,6,"Melbourne (Olympic Park), Victoria",2022-12-06,13.4,20.0,1.2,S,31.0,16:43,15.5,71,SE,17,1012.1,19.2,56.0,S,13.0,1008.9,17.0
36,2022-12-07,2022-12-07 20:00:00,5044.86,21.76,2022-12-07 20:00:00,20,0,12,4,7,"Melbourne (Olympic Park), Victoria",2022-12-07,13.1,19.3,0.2,SW,41.0,18:31,16.4,68,S,7,1004.5,18.4,62.0,S,15.0,1004.4,7.0
37,2022-12-08,2022-12-08 20:00:00,5429.38,115.0,2022-12-08 20:00:00,20,0,12,4,8,"Melbourne (Olympic Park), Victoria",2022-12-08,9.4,16.0,0.6,S,48.0,11:40,10.8,72,WSW,13,1013.8,15.5,48.0,S,20.0,1015.2,13.0
38,2022-12-09,2022-12-09 06:30:00,5364.08,37.95,2022-12-09 06:30:00,6,30,12,4,9,"Melbourne (Olympic Park), Victoria",2022-12-09,9.9,17.6,2.4,S,41.0,16:53,14.6,44,SSE,15,1018.1,16.4,51.0,SSW,17.0,1017.3,15.0
39,2022-12-10,2022-12-10 19:30:00,4942.33,118.12,2022-12-10 19:30:00,19,30,12,4,10,"Melbourne (Olympic Park), Victoria",2022-12-10,8.1,25.9,0.0,N,31.0,12:24,14.2,63,NW,7,1017.1,24.8,32.0,NW,11.0,1012.0,7.0
40,2022-12-11,2022-12-11 17:00:00,5200.92,133.57,2022-12-11 17:00:00,17,0,12,4,11,"Melbourne (Olympic Park), Victoria",2022-12-11,14.0,28.6,0.0,N,54.0,11:06,20.7,53,NNE,13,1005.4,25.7,35.0,NNW,20.0,1002.0,13.0
41,2022-12-12,2022-12-12 19:30:00,5265.03,18.0,2022-12-12 19:30:00,19,30,12,4,12,"Melbourne (Olympic Park), Victoria",2022-12-12,11.5,17.3,17.4,NW,44.0,13:54,12.6,84,WNW,9,1001.0,16.0,59.0,NW,22.0,1002.1,9.0
42,2022-12-13,2022-12-13 20:00:00,5394.47,29.73,2022-12-13 20:00:00,20,0,12,4,13,"Melbourne (Olympic Park), Victoria",2022-12-13,11.6,17.9,3.2,NNW,44.0,8:07,14.2,56,NNW,15,1008.7,12.2,86.0,W,13.0,1008.0,15.0
43,2022-12-14,2022-12-14 19:30:00,5477.48,82.53,2022-12-14 19:30:00,19,30,12,4,14,"Melbourne (Olympic Park), Victoria",2022-12-14,9.0,15.8,6.2,S,50.0,16:01,13.7,64,S,19,1013.2,12.4,77.0,SSW,19.0,1015.5,19.0
44,2022-12-15,2022-12-15 20:30:00,5334.73,27.44,2022-12-15 20:30:00,20,30,12,4,15,"Melbourne (Olympic Park), Victoria",2022-12-15,11.1,16.6,3.4,S,39.0,15:25,14.8,58,SSE,11,1017.0,15.7,57.0,SSW,15.0,1016.5,11.0
45,2022-12-16,2022-12-16 06:30:00,5307.55,20.37,2022-12-16 06:30:00,6,30,12,4,16,"Melbourne (Olympic Park), Victoria",2022-12-16,10.8,20.3,0.0,SE,35.0,9:43,15.7,58,SE,11,1019.4,19.2,47.0,SSE,13.0,1019.0,11.0
46,2022-12-17,2022-12-17 19:30:00,4433.75,19.19,2022-12-17 19:30:00,19,30,12,4,17,"Melbourne (Olympic Park), Victoria",2022-12-17,10.9,22.3,0.2,SSE,41.0,16:23,16.5,61,SE,15,1023.0,21.4,44.0,SE,19.0,1021.4,15.0
47,2022-12-18,2022-12-18 19:00:00,4510.35,17.49,2022-12-18 19:00:00,19,0,12,4,18,"Melbourne (Olympic Park), Victoria",2022-12-18,11.7,23.7,0.0,ESE,37.0,17:51,16.5,54,ESE,15,1024.9,22.6,41.0,SE,17.0,1021.6,15.0
48,2022-12-19,2022-12-19 19:00:00,5151.44,104.85,2022-12-19 19:00:00,19,0,12,4,19,"Melbourne (Olympic Park), Victoria",2022-12-19,9.8,26.0,0.0,SSE,33.0,17:35,16.6,67,WSW,4,1025.5,22.4,39.0,SSW,17.0,1022.3,4.0
49,2022-12-20,2022-12-20 18:00:00,5392.19,33.86,2022-12-20 18:00:00,18,0,12,4,20,"Melbourne (Olympic Park), Victoria",2022-12-20,10.2,27.3,0.0,SSE,31.0,16:59,16.4,64,NE,7,1022.0,26.3,32.0,SSE,15.0,1017.6,7.0
50,2022-12-21,2022-12-21 17:00:00,5628.39,117.95,2022-12-21 17:00:00,17,0,12,4,21,"Melbourne (Olympic Park), Victoria",2022-12-21,12.9,29.4,0.0,NNE,30.0,11:51,18.2,64,NNE,7,1015.3,28.2,27.0,NNE,11.0,1011.6,7.0
51,2022-12-22,2022-12-22 17:30:00,5504.4,85.25,2022-12-22 17:30:00,17,30,12,4,22,"Melbourne (Olympic Park), Victoria",2022-12-22,16.8,25.2,5.2,N,26.0,16:53,17.4,91,ENE,6,1011.6,21.5,82.0,WSW,4.0,1008.5,6.0
52,2022-12-23,2022-12-23 18:00:00,5188.07,100.98,2022-12-23 18:00:00,18,0,12,4,23,"Melbourne (Olympic Park), Victoria",2022-12-23,15.7,23.1,1.6,SW,28.0,21:16,18.2,97,S,4,1011.7,20.2,76.0,SSW,13.0,1009.7,4.0
