Date,Total Demand,RRP,Hour,Minute,Month,Quarter,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Speed of maximum wind gust (km/h),9am Temperature (°C),9am relative humidity (%),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind speed (km/h),3pm MSL pressure (hPa),9am wind speed (km/h) - 2
2022-12-10,4942.33,118.12,19,30,12,4,10,8.1,25.9,0.0,31.0,14.2,63.0,1017.1,24.8,32.0,11.0,1012.0,7.0
2022-12-11,5200.92,133.57,17,0,12,4,11,14.0,28.6,0.0,54.0,20.7,53.0,1005.4,25.7,35.0,20.0,1002.0,13.0
2022-12-12,5265.03,18.0,19,30,12,4,12,11.5,17.3,17.4,44.0,12.6,84.0,1001.0,16.0,59.0,22.0,1002.1,9.0
2022-12-13,5394.47,29.73,20,0,12,4,13,11.6,17.9,3.2,44.0,14.2,56.0,1008.7,12.2,86.0,13.0,1008.0,15.0
2022-12-14,5477.48,82.53,19,30,12,4,14,9.0,15.8,6.2,50.0,13.7,64.0,1013.2,12.4,77.0,19.0,1015.5,19.0
2022-12-15,5334.73,27.44,20,30,12,4,15,11.1,16.6,3.4,39.0,14.8,58.0,1017.0,15.7,57.0,15.0,1016.5,11.0
2022-12-16,5307.55,20.37,6,30,12,4,16,10.8,20.3,0.0,35.0,15.7,58.0,1019.4,19.2,47.0,13.0,1019.0,11.0
2022-12-17,4433.75,19.19,19,30,12,4,17,10.9,22.3,0.2,41.0,16.5,61.0,1023.0,21.4,44.0,19.0,1021.4,15.0
2022-12-18,4510.35,17.49,19,0,12,4,18,11.7,23.7,0.0,37.0,16.5,54.0,1024.9,22.6,41.0,17.0,1021.6,15.0
2022-12-19,5151.44,104.85,19,0,12,4,19,9.8,26.0,0.0,33.0,16.6,67.0,1025.5,22.4,39.0,17.0,1022.3,4.0
2022-12-20,5392.19,33.86,18,0,12,4,20,10.2,27.3,0.0,31.0,16.4,64.0,1022.0,26.3,32.0,15.0,1017.6,7.0
2022-12-21,5628.39,117.95,17,0,12,4,21,12.9,29.4,0.0,30.0,18.2,64.0,1015.3,28.2,27.0,11.0,1011.6,7.0
2022-12-22,5504.4,85.25,17,30,12,4,22,16.8,25.2,5.2,26.0,17.4,91.0,1011.6,21.5,82.0,4.0,1008.5,6.0
2022-12-23,5188.07,100.98,18,0,12,4,23,15.7,23.1,1.6,28.0,18.2,97.0,1011.7,20.2,76.0,13.0,1009.7,4.0
2022-12-24,4792.81,194.52,19,0,12,4,24,16.7,23.5,0.0,31.0,18.9,66.0,1011.7,21.6,53.0,13.0,1010.8,9.0
2022-12-25,5460.58,120.0,19,0,12,4,25,12.9,31.9,0.0,24.0,19.5,66.0,1013.1,30.3,31.0,11.0,1012.3,7.0
2022-12-26,6164.92,120.0,18,0,12,4,26,17.0,27.5,0.0,28.0,22.6,58.0,1016.6,23.6,67.0,13.0,1016.6,11.0
2022-12-27,8148.52,120.0,18,0,12,4,27,17.7,37.3,0.0,33.0,25.1,62.0,1018.1,36.5,26.0,15.0,1013.1,7.0
2022-12-28,5446.07,-38.0,8,30,12,4,28,25.0,27.6,0.0,46.0,27.6,42.0,1008.2,18.0,71.0,13.0,1013.4,9.0
2022-12-29,4622.73,92.55,19,30,12,4,29,14.0,19.3,0.8,33.0,15.8,58.0,1019.0,18.4,55.0,13.0,1017.5,17.0
2022-12-30,5435.76,128.67,18,0,12,4,30,12.6,26.2,0.0,30.0,18.2,70.0,1015.9,25.0,52.0,11.0,1012.5,4.0
2022-12-31,5893.55,125.37,18,0,12,4,31,17.9,30.3,0.0,30.0,20.6,78.0,1014.3,27.4,54.0,11.0,1010.4,4.0
2023-01-01,7505.95,158.98,18,30,1,1,1,18.4,35.9,0.0,31.0,24.6,65.0,1010.8,35.3,34.0,11.0,1007.4,7.0
2023-01-02,5614.32,19.13,16,30,1,1,2,22.1,32.0,6.4,52.0,28.6,47.0,1005.9,21.1,80.0,13.0,1006.6,22.0
2023-01-03,4874.01,9.0,19,30,1,1,3,15.2,21.1,0.2,37.0,17.4,68.0,1010.2,20.5,58.0,17.0,1008.9,11.0
2023-01-04,4823.19,8.94,19,30,1,1,4,15.0,18.7,0.0,52.0,15.6,62.0,1010.7,16.0,76.0,22.0,1011.2,13.0
2023-01-05,4707.9,19.13,19,30,1,1,5,14.1,21.6,1.0,39.0,18.4,66.0,1014.9,20.8,65.0,15.0,1014.3,13.0
2023-01-06,4807.91,34.95,19,30,1,1,6,13.3,25.6,0.0,37.0,18.4,65.0,1017.7,25.4,39.0,17.0,1015.0,15.0
2023-01-07,5607.49,118.74,18,30,1,1,7,13.2,30.2,0.0,28.0,18.5,66.0,1015.1,28.8,34.0,11.0,1011.4,9.0
2023-01-08,6639.35,212.27,19,0,1,1,8,14.9,31.9,0.0,24.0,20.3,67.0,1012.7,30.0,28.0,11.0,1010.7,4.0
2023-01-09,5903.66,19.13,18,0,1,1,9,18.4,26.2,0.0,37.0,24.3,46.0,1011.9,21.2,75.0,17.0,1013.3,6.0
2023-01-10,5574.99,127.05,18,30,1,1,10,16.9,21.6,0.0,35.0,17.4,66.0,1016.4,20.7,63.0,15.0,1013.8,9.0
2023-01-11,7396.17,164.26,18,30,1,1,11,15.9,29.9,0.0,28.0,20.4,71.0,1011.4,27.9,49.0,13.0,1008.6,6.0
2023-01-12,6526.04,132.76,18,30,1,1,12,18.7,24.0,0.0,28.0,18.7,87.0,1014.0,22.9,73.0,13.0,1013.9,7.0
2023-01-13,6518.54,135.06,18,0,1,1,13,18.0,24.2,0.0,31.0,20.4,76.0,1017.1,23.3,70.0,15.0,1015.5,6.0
2023-01-14,8043.4,156.11,18,0,1,1,14,20.2,37.6,0.0,43.0,23.3,75.0,1012.8,35.4,26.0,15.0,1007.4,6.0
2023-01-15,5063.63,30.15,0,0,1,1,15,18.0,20.6,0.0,35.0,18.4,72.0,1018.1,20.3,58.0,15.0,1019.7,13.0
2023-01-16,6583.29,160.0,18,30,1,1,16,15.1,27.0,0.0,24.0,16.4,72.0,1019.5,25.2,50.0,15.0,1017.1,9.0
2023-01-17,8850.61,160.77,18,0,1,1,17,16.3,37.2,0.0,48.0,26.3,54.0,1015.3,35.6,31.0,20.0,1009.8,20.0
2023-01-18,5791.31,112.91,8,0,1,1,18,19.8,19.9,6.0,41.0,19.9,94.0,1010.9,16.7,85.0,15.0,1012.6,9.0
2023-01-19,5073.16,24.44,19,30,1,1,19,14.7,19.3,4.6,41.0,16.3,56.0,1016.8,17.5,53.0,17.0,1016.7,15.0
2023-01-20,5062.77,81.73,19,0,1,1,20,15.5,21.0,0.0,35.0,17.5,50.0,1017.8,20.3,49.0,13.0,1016.0,9.0
2023-01-21,4852.88,35.33,19,0,1,1,21,13.8,23.0,0.0,43.0,17.2,76.0,1016.3,22.1,66.0,15.0,1014.2,2.0
2023-01-22,5001.23,106.93,20,0,1,1,22,17.2,23.4,0.0,35.0,20.0,72.0,1017.1,22.6,70.0,20.0,1015.1,9.0
2023-01-23,6285.41,169.9,18,30,1,1,23,18.2,28.0,0.0,24.0,20.1,69.0,1016.1,26.3,46.0,11.0,1012.7,7.0
2023-01-24,5711.53,64.6,16,30,1,1,24,17.6,28.6,0.0,41.0,20.4,66.0,1011.8,28.4,36.0,9.0,1009.2,7.0
2023-01-25,6535.89,31.84,18,30,1,1,25,17.2,30.0,1.8,35.0,20.3,77.0,1012.1,27.6,50.0,7.0,1009.2,7.0
2023-01-26,4975.1,121.52,18,30,1,1,26,15.9,21.6,0.0,35.0,18.4,69.0,1015.7,21.2,56.0,15.0,1016.2,9.0
2023-01-27,6106.51,158.88,18,30,1,1,27,13.5,26.8,0.0,24.0,17.1,59.0,1016.3,24.2,45.0,11.0,1012.9,9.0
2023-01-28,6156.71,141.77,16,30,1,1,28,15.2,34.2,0.0,43.0,25.5,32.0,1007.8,33.6,18.0,11.0,1006.7,11.0
2023-01-29,5123.59,129.02,17,30,1,1,29,19.5,23.8,0.2,24.0,20.7,84.0,1012.7,22.1,77.0,11.0,1012.5,0.0
2023-01-30,5406.49,119.97,18,30,1,1,30,17.9,21.7,0.0,33.0,18.3,71.0,1014.7,20.4,63.0,13.0,1012.2,9.0
2023-01-31,5521.37,160.7,19,0,1,1,31,15.6,22.2,0.0,30.0,18.7,67.0,1009.8,21.1,51.0,13.0,1007.5,7.0
2023-02-01,5270.01,157.32,19,30,2,1,1,14.9,21.0,0.0,39.0,18.1,61.0,1006.7,18.2,65.0,13.0,1006.6,7.0
2023-02-02,5188.93,-44.45,17,0,2,1,2,14.2,21.3,0.2,56.0,15.6,47.0,998.1,20.2,39.0,28.0,990.3,11.0
2023-02-03,5228.77,8.94,6,30,2,1,3,11.4,18.8,11.2,41.0,13.4,61.0,993.2,17.7,44.0,11.0,993.7,20.0
2023-02-04,4693.92,119.17,20,0,2,1,4,11.7,20.7,6.6,31.0,14.8,86.0,1004.0,19.6,58.0,11.0,1008.3,11.0
2023-02-05,4911.96,107.91,20,0,2,1,5,13.8,19.8,1.2,26.0,16.5,69.0,1017.4,19.0,59.0,7.0,1017.7,6.0
2023-02-06,5244.62,149.97,19,0,2,1,6,16.0,20.9,0.0,28.0,16.8,75.0,1020.5,19.4,60.0,13.0,1020.2,9.0
2023-02-07,5189.88,119.97,19,0,2,1,7,16.6,20.4,0.0,37.0,17.5,64.0,1020.0,19.8,60.0,15.0,1018.2,11.0
2023-02-08,5446.86,152.23,19,0,2,1,8,15.0,22.2,0.0,33.0,17.6,64.0,1017.3,20.2,64.0,15.0,1014.8,7.0
